Zone,Area,2024-11-04 to 2024-11-11,2024-11-11 to 2024-11-18,2024-11-18 to 2024-11-25,2024-11-25 to 2024-12-02,2024-12-02 to 2024-12-09,2024-12-09 to 2024-12-16
ZONE_5,B. Vista (Sp 2),1934.00,567.00,2743.00,1322.00,1492.00,4716.00
ZONE_5,Harbor (1),1799.00,2995.00,17224.00,4796.00,20473.00,838.00
ZONE_5,Sweetwater (1),1295.00,19.00,53.00,84.00,33.00,0.00
ZONE_5,South Bay (Sp 3),769.00,2927.00,2128.00,2554.00,593.00,361.00
ZONE_5,Otay Lakes,0.00,0.00,162.00,0.00,4924.00,0.00
ZONE_5,South Bay (Sp 2),2748.00,12307.00,3020.00,18399.00,11754.00,0.00
ZONE_5,CV 1st (1),6200.00,1292.00,1481.00,854.00,2821.00,2886.00
ZONE_5,Harbor (2),956.00,840.00,7975.00,4946.00,10519.00,73.00
ZONE_5,South Bay (Sp 1),1679.00,5059.00,3952.00,5994.00,10014.00,1041.00
ZONE_5,B. Vista (Sp 1),857.00,1539.00,92.00,431.00,1320.00,34.00
ZONE_5,Imperial Beach,8376.00,5101.00,19380.00,28096.00,20179.00,4765.00
ZONE_5,CV 3rd,67.00,190.00,939.00,930.00,2862.00,0.00
ZONE_5,Sweetwater (2),5022.00,1385.00,1924.00,1019.00,7383.00,4748.00
ZONE_5,B. Vista (Sp 3),9344.00,8840.00,4580.00,18442.00,9407.00,3646.00
ZONE_5,Otay Lakes (2),2625.00,416.00,0.00,17.00,2988.00,267.00
ZONE_5,SDB YSA/MCRD,0.00,2239.00,191.00,3740.00,4759.00,0.00
ZONE_5,CV 1st (2),765.00,4866.00,635.00,10665.00,3207.00,3.00
ZONE_4,SD 1st (2),1549.00,976.00,3756.00,627.00,810.00,182.00
ZONE_4,Clairemont,3552.00,4446.00,3721.00,901.00,1377.00,0.00
ZONE_4,SD 1st (1),8730.00,1717.00,5546.00,10735.00,1643.00,0.00
ZONE_4,Colina del Sol (Sp 2),972.00,766.00,1086.00,4114.00,3108.00,1461.00
ZONE_4,Colina del Sol (Sp 3),6431.00,2227.00,3738.00,4710.00,1383.00,776.00
ZONE_4,Point Loma,7182.00,3935.00,327.00,2473.00,11369.00,1200.00
ZONE_4,Colina del Sol (Sp 1),198.00,174.00,745.00,298.00,698.00,60.00
ZONE_4,La Jolla YSA (1),12858.00,0.00,1479.00,2430.00,291.00,0.00
ZONE_4,SD 1st (3),10499.00,814.00,185.00,590.00,1539.00,1.00
ZONE_4,Colina del Sol (Sp 4),38.00,0.00,11.00,13.00,95.00,130.00
ZONE_4,La Jolla YSA (2),52.00,1390.00,1419.00,0.00,0.00,2887.00
ZONE_4,UC,737.00,143.00,87.00,1285.00,53.00,1010.00
ZONE_4,Pacific Beach,35.00,534.00,16.00,4.00,48.00,20.00
ZONE_4,SD 1st (4),8780.00,1318.00,2957.00,394.00,5412.00,1843.00
ZONE_4,La Jolla YSA (3),1424.00,0.00,0.00,3603.00,4.00,0.00
ZONE_7,Magnolia (2),3389.00,4978.00,5.00,101.00,1943.00,45.00
ZONE_7,Alpine,320.00,180.00,4884.00,205.00,35.00,4.00
ZONE_7,El Rey (Sp 1),97.00,130.00,137.00,84.00,1203.00,0.00
ZONE_7,Magnolia (1),29.00,17.00,20.00,6.00,1046.00,84.00
ZONE_7,El Rey (Sp 2),653.00,0.00,1563.00,40.00,13.00,0.00
ZONE_7,El Rey (Sp 3),13.00,216.00,1838.00,1192.00,7.00,14.00
ZONE_7,Hillsdale (1) (Ar),0.00,0.00,175.00,0.00,0.00,0.00
ZONE_7,Hillsdale (2) (Ar),0.00,2.00,68.00,36.00,0.00,61.00
ZONE_7,Lakeside,648.00,1.00,97.00,17.00,701.00,13.00
ZONE_7,Hillsdale (3) (Ar/Eng),105.00,53.00,114.00,0.00,4.00,1.00
ZONE_7,Magnolia (3) (Swahili),0.00,0.00,4534.00,0.00,0.00,0.00
ZONE_7,El Rey (HC),0.00,2.00,824.00,37.00,32.00,0.00
ZONE_6,Fairmount (2),0.00,86.00,0.00,0.00,0.00,0.00
ZONE_6,Monte Vista (Sp 2),753.00,725.00,2134.00,973.00,1514.00,49.00
ZONE_6,Tierrasanta,0.00,0.00,61.00,0.00,0.00,0.00
ZONE_6,Grossmont,40.00,273.00,586.00,51.00,0.00,0.00
ZONE_6,Fairmount/HC/MCRD (1),2.00,2400.00,1925.00,97.00,166.00,184.00
ZONE_6,SPL/Monte Vista (Sp 3),304.00,1405.00,107.00,6899.00,2963.00,424.00
ZONE_6,La Mesa,0.00,7.00,3.00,16.00,79.00,12.00
ZONE_6,Monte Vista (Sp 1),3458.00,1002.00,7683.00,9404.00,3346.00,0.00
ZONE_6,Santee,0.00,4.00,33.00,161.00,2.00,174.00
ZONE_6,Del Cerro,3055.00,2254.00,1586.00,400.00,3167.00,0.00
ZONE_6,Fairmount (3),15.00,109.00,102.00,18.00,39.00,16.00
ZONE_6,CM YSA (2)/MCRD,0.00,3.00,0.00,0.00,0.00,0.00
ZONE_6,Fairmount/HC (3),3151.00,10791.00,6968.00,104.00,3877.00,2.00
ZONE_6,Fairmount (1),1708.00,62.00,2576.00,1716.00,127.00,1884.00
ZONE_6,Fairmount/HC (2),15.00,110.00,3.00,2164.00,4783.00,0.00
ZONE_6,CM YSA (1),968.00,0.00,0.00,0.00,26.00,0.00
ZONE_8,El Centro,2466.00,3312.00,5207.00,86.00,13.00,0.00
ZONE_8,Brawley (2),57.00,1951.00,10.00,2151.00,200.00,625.00
ZONE_8,Imperial (1) (Sp),6230.00,2502.00,2492.00,14086.00,209.00,0.00
ZONE_8,Brawley (1),2.00,840.00,124.00,976.00,0.00,497.00
ZONE_8,Imperial (2) (Sp),125.00,37.00,0.00,90.00,0.00,0.00
ZONE_8,Calexico (1) (Sp),191.00,47.00,0.00,76.00,524.00,0.00
ZONE_8,Calexico (2) (Sp),459.00,45.00,60.00,145.00,0.00,21.00
ZONE_3,Lake Poway,0.00,6.00,0.00,0.00,0.00,17.00
ZONE_3,Ramona/Julian,100.00,0.00,307.00,1800.00,258.00,85.00
ZONE_3,Dos Picos (Sp ),6.00,0.00,12.00,28.00,0.00,172.00
ZONE_3,Highland Valley,3.00,4.00,96.00,0.00,26.00,29.00
ZONE_3,Twin Peaks,112.00,280.00,0.00,240.00,0.00,0.00
ZONE_3,Poway (Sp 1),1005.00,2599.00,1215.00,159.00,1531.00,37.00
ZONE_3,Poway (Sp 2),141.00,19.00,1610.00,0.00,3619.00,0.00
ZONE_3,Green Valley,598.00,0.00,0.00,0.00,0.00,0.00
ZONE_3,Sabre Springs,0.00,115.00,1831.00,7.00,25.00,75.00
ZONE_1,Del Mar 2nd (Farsi),0.00,0.00,1526.00,0.00,14.00,0.00
ZONE_1,Del Mar 1st/2nd (Eng/Spa),212.00,2323.00,5750.00,2.00,0.00,14.00
ZONE_1,S Dgto/Encinitas (Eng),1383.00,822.00,3277.00,120.00,2698.00,1324.00
ZONE_1,Tor P SA/MCRD,0.00,640.00,5.00,70.00,0.00,0.00
ZONE_1,Carm Vlly 2 (Man),0.00,184.00,0.00,4.00,0.00,0.00
ZONE_1,La Costa/Rancho Carillo,27.00,316.00,0.00,70.00,5.00,0.00
ZONE_1,S Dgto/Encinitas (Sp),201.00,98.00,217.00,183.00,0.00,353.00
ZONE_1,Carm Vlly 1/Del Mar 1 (Eng),562.00,55.00,456.00,0.00,7.00,0.00
ZONE_2,Mira Mesa (Eng),282.00,23.00,0.00,11.00,1.00,0.00
ZONE_2,SMSL/Scripps Ranch (Eng),0.00,140.00,34.00,1.00,25.00,1.00
ZONE_2,Blck Mtn/RPQ,7961.00,9.00,639.00,58.00,782.00,0.00
ZONE_2,Del Sur/Rancho Bernardo,1510.00,15.00,0.00,0.00,0.00,0.00
ZONE_2,Mt. Woodson YSA,37.00,5.00,2.00,3.00,22.00,0.00
